keyword,ranked,exact_title,avg_score,min_score,fresh_updated,top_titles
"farming game","10","1","4.61","4.36","0","Township | Hay Day | FarmVille 3 – Farm Animals | Sunshine Island : Farming Game | Klondike Adventures: Farm Game | Farmington – Farm game | FarmVille 2: Country Escape | Stardew Valley | Animal Farm Life: Town Farming | Pacifida Adventures: Farm Game"
"harvest game","10","0","4.36","4.01","0","Dreamy Harvest: Farm Island | Farm Life: Harvest Tycoon | Harvest Land | Big Farm: Mobile Harvest | Farming Harvest | Harvest.io – 3D Farming Arcade | Harvest King: Farm TD Strategy | Dream Farm : Harvest Day | Harvest Town | Idle Farm: Farming Simulator"
"garden game","10","1","4.45","4.10","0","Home Garden Lulu & cozy games | Lily’s Garden - Design & Relax | Honey Grove — Cozy Garden Game | Gardenscapes | Gardens Inc 4 - Blooming Stars | Florescence: Merge Garden | Garden & Home: Design Game | Flourish by Garden Joy | Grow Garden : Kids Games | Merge Gardens"
"idle farming","10","2","4.29","3.99","0","Idle Farming Empire | My Pocket Farm - Idle Farming | Idle Farmer: Farm Tycoon Games | Idle Farm: Farming Simulator | Idle Farm Tycoon - Merge Crops | Idle Pocket Farming Tycoon | Bud Farm: Idle Tycoon | Farm Idle: Moo Tycoon | Little Farm Story: Idle Tycoon | Idle Farm Game Offline Clicker"
"water game","10","0","4.58","3.90","0","Flow Water Fountain 3D Puzzle | Water Sort Puzzle - Sort Color | Get Color - Water Sort Puzzle | Aquapark.io | SortPuz™: Water Sort Puzzle | Water Sort: Color Tube Puzzle | Aqua Twist - Color Flow Puzzle | Where's My Water? 2 | Water Sort! Color Sort Puzzle | Water Sort! 3D Color Match Puz"
"slime game","10","1","4.32","3.83","0","Super Slime Simulator: DIY Art | Bruno – My Talking Slime Pet | Slime Art: Relaxing ASMR | Slime Games: Satisfying ASMR | SLIME-ISEKAI Memories：TenSura | Antistress Relax Fidget Games | Slime Craft, Perfect RTS Game | Squishy Slime Maker For Kids | Legend of Slime: Idle RPG War | Slime Hole: Eat The World"
"stress relief game","10","0","4.56","4.22","0","Antistress - relaxation toys | Energy: Anti-Stress Loops | Hex: Anxiety Relief Relax Game | My Oasis: Relaxing, Satisfying | Zen Word® - Relax Puzzle Game | Forest Island: Relaxing Game | Bear Room: stress relief | Infinity Loop: Relaxing Puzzle | Relaxing Match Game | Mini Antistress Relaxing Games"
"relaxing game","10","4","4.50","3.99","0","Antistress - relaxation toys | Forest Island: Relaxing Game | My Oasis: Relaxing, Satisfying | Mini Antistress Relaxing Games | Mini Relaxing Game- pop it | Ryahs Rhythm: Relaxing Games | Zen Word® - Relax Puzzle Game | Dear My Cat :Relaxing cat game | Cats&Soup: Relaxing Cozy Games | Mini Fidget Antistress Games"
"anti stress","10","1","4.48","4.22","0","Antistress - relaxation toys | Mini Antistress Relaxing Games | Mini Fidget Antistress Games | Energy: Anti-Stress Loops | Hex: Anxiety Relief Relax Game | Pop It Games Fidget Antistress | Anti Stress Tap Mini Fun Games | My Oasis: Relaxing, Satisfying | Calm - Sleep, Meditate, Relax | Antistress trivia - Zen Quiz"
"satisfying game","10","0","4.41","3.61","0","Antistress - relaxation toys | My Oasis: Relaxing, Satisfying | Satisfying Toys : Calm Games | Satisgame | Mini Relaxing Game- pop it | Tidy Puzzle: Perfect Satisfy | Super Slime Simulator: DIY Art | Squishy Magic: ASMR Toy Maker | ASMR Satisgame 2 | Satisfying Cleaning Deep Clean"
"calm game","10","0","4.55","4.38","0","Forest Island: Relaxing Game | Infinity Loop: Relaxing Puzzle | My Oasis: Relaxing, Satisfying | Dear My Cat :Relaxing cat game | Antistress - relaxation toys | Calm - Sleep, Meditate, Relax | Home Garden Lulu & cozy games | Ryahs Rhythm: Relaxing Games | Cats&Soup: Relaxing Cozy Games | Hex: Anxiety Relief Relax Game"
"meditation game","10","0","4.52","4.21","0","My Oasis: Relaxing, Satisfying | Calm - Sleep, Meditate, Relax | Serenity: Guided Meditation | Lojong: Meditation & Sleep | Insight Timer - Meditation App | Headspace: Sleep & Meditation | Infinity Loop: Relaxing Puzzle | Hex: Anxiety Relief Relax Game | Zen Idle: Gravity Meditation | Happier Meditation"
"sleep game","10","0","4.20","3.61","0","Loóna: Bedtime Relax & Sleep | Pokémon Sleep | Sleep Hero: Bedtime Habit Game | Shleepy Story: Nighty Night! | SleepTown | Calm - Sleep, Meditate, Relax | Moshi Kids: Sleep, Relax, Play | Sleepagotchi | Sleep Well Hypnosis & Insomnia | BetterSleep: Sleep tracker"
"story game","8","2","4.25","3.34","0","Phantom of Opera | Story Games | Harry Potter: Hogwarts Mystery | Matching Story - Puzzle Games | Pechka | Adventure Story Game | An Elmwood Trail - Crime Story | Jekyll & Hyde | Mystery Story | Life is Strange | Episode - Choose Your Story"
"interactive story","10","1","4.14","3.02","0","Episode - Choose Your Story | Luna Ravel - Interactive Story | Chapters: Interactive Stories | Harry Potter: Hogwarts Mystery | Wyndra: AI Fantasy Story Games | FictIf: Interactive Romance | AI Dungeon: RPG & Story Maker | OOC: The Playable Anime | MeChat - Interactive Stories | My Stories: Choose Chapters"
"romance game","10","0","4.25","3.02","0","Romance Club - Stories I Play | Golden Desire: Fantasy Romance | Otome: Romance Stories & Games | Love Island: The Game | Anime Dating Sim: Waifu Love | Episode - Choose Your Story | FictIf: Interactive Romance | Immortal Love: Night Kiss | Love 365: Find Your Story | Arcana Twilight : Anime game"
"love game","10","0","4.19","1.67","0","Love Island: The Game | Episode - Choose Your Story | Anime Dating Sim: Waifu Love | Romance Club - Stories I Play | Immortal Love: Night Kiss | Pocket Love | Love and Deepspace | Kitty Powers' Matchmaker | MeChat - Interactive Stories | Love Eden: Interactive Stories"
"dating game","10","0","4.18","1.67","0","Anime Dating Sim: Waifu Love | Love Eden: Interactive Stories | Love Esquire - RPG/Dating Sim | Crush Crush - Idle Dating Sim | Love Island: The Game | Kitty Powers' Matchmaker | MeChat - Interactive Stories | Love and Deepspace | Couple Up! Interactive Stories | The Arcana: A Mystic Romance"
"horror game","10","0","4.23","2.63","0","Eyes Horror & Coop Multiplayer | Granny | Little Nightmares | That's Not My Neighbor | Kamla - Horror Exorcism Escape | Last Asylum: Plague | Into the Dead 2: Zombie Killer | Dead Trigger 2 FPS Zombie Game | Dead Trigger: Survival Shooter | Adventure Escape Mysteries"
